Ngày,Lần cuối
16/11/2007,2530
19/11/2007,2405
20/11/2007,2300
21/11/2007,2384
22/11/2007,2384
23/11/2007,2300
26/11/2007,2279
27/11/2007,2195
28/11/2007,2237
29/11/2007,2237
30/11/2007,2216
03/12/2007,2216
04/12/2007,2195
05/12/2007,2175
06/12/2007,2195
07/12/2007,2133
10/12/2007,2039
11/12/2007,1945
12/12/2007,1965
13/12/2007,1892
14/12/2007,1903
17/12/2007,1903
18/12/2007,1956
19/12/2007,2051
20/12/2007,1987
21/12/2007,1987
24/12/2007,2008
25/12/2007,1987
26/12/2007,1987
27/12/2007,1987
28/12/2007,2008
02/01/2008,2019
03/01/2008,2030
04/01/2008,2051
07/01/2008,2082
08/01/2008,2178
09/01/2008,2283
10/01/2008,2262
11/01/2008,2241
14/01/2008,2241
15/01/2008,2135
16/01/2008,2220
17/01/2008,2114
18/01/2008,2156
21/01/2008,2114
22/01/2008,2051
23/01/2008,1956
24/01/2008,1966
25/01/2008,1966
28/01/2008,1977
29/01/2008,2019
30/01/2008,2114
31/01/2008,2072
01/02/2008,2135
12/02/2008,2114
13/02/2008,2051
14/02/2008,2061
15/02/2008,2051
18/02/2008,1966
19/02/2008,1956
20/02/2008,1860
21/02/2008,1776
22/02/2008,1712
25/02/2008,1797
26/02/2008,1734
27/02/2008,1755
28/02/2008,1744
29/02/2008,1702
03/03/2008,1617
04/03/2008,1543
05/03/2008,1490
06/03/2008,1564
07/03/2008,1638
10/03/2008,1712
11/03/2008,1702
12/03/2008,1734
13/03/2008,1744
14/03/2008,1712
17/03/2008,1628
18/03/2008,1554
19/03/2008,1554
20/03/2008,1533
21/03/2008,1459
24/03/2008,1395
25/03/2008,1332
26/03/2008,1374
27/03/2008,1385
28/03/2008,1395
31/03/2008,1406
01/04/2008,1417
02/04/2008,1427
03/04/2008,1438
04/04/2008,1448
07/04/2008,1469
08/04/2008,1490
09/04/2008,1469
10/04/2008,1448
11/04/2008,1427
16/04/2008,1406
17/04/2008,1417
18/04/2008,1395
21/04/2008,1374
22/04/2008,1353
23/04/2008,1332
24/04/2008,1311
25/04/2008,1290
28/04/2008,1311
29/04/2008,1332
05/05/2008,1353
06/05/2008,1374
07/05/2008,1374
08/05/2008,1353
09/05/2008,1332
12/05/2008,1311
13/05/2008,1290
14/05/2008,1269
15/05/2008,1247
16/05/2008,1226
19/05/2008,1205
20/05/2008,1184
21/05/2008,1163
22/05/2008,1142
23/05/2008,1121
26/05/2008,1099
30/05/2008,1078
02/06/2008,1057
03/06/2008,1036
04/06/2008,1017
05/06/2008,998
06/06/2008,979
09/06/2008,960
10/06/2008,941
11/06/2008,924
12/06/2008,941
13/06/2008,958
16/06/2008,977
17/06/2008,996
18/06/2008,977
19/06/2008,949
20/06/2008,922
23/06/2008,949
24/06/2008,977
25/06/2008,1004
26/06/2008,1034
27/06/2008,1057
30/06/2008,1089
01/07/2008,1121
02/07/2008,1152
03/07/2008,1184
04/07/2008,1216
07/07/2008,1247
08/07/2008,1279
09/07/2008,1311
10/07/2008,1343
11/07/2008,1382
14/07/2008,1424
15/07/2008,1465
16/07/2008,1495
17/07/2008,1539
18/07/2008,1584
21/07/2008,1539
22/07/2008,1495
23/07/2008,1450
24/07/2008,1421
25/07/2008,1462
28/07/2008,1495
29/07/2008,1539
30/07/2008,1584
31/07/2008,1628
01/08/2008,1672
04/08/2008,1643
05/08/2008,1613
06/08/2008,1658
07/08/2008,1687
08/08/2008,1732
