Ngày,Lần cuối
16/11/2007,2530.0
19/11/2007,2405.0
20/11/2007,2300.0
21/11/2007,2384.0
22/11/2007,2384.0
23/11/2007,2300.0
26/11/2007,2279.0
27/11/2007,2195.0
28/11/2007,2237.0
29/11/2007,2237.0
30/11/2007,2216.0
03/12/2007,2216.0
04/12/2007,2195.0
05/12/2007,2175.0
06/12/2007,2195.0
07/12/2007,2133.0
10/12/2007,2039.0
11/12/2007,1945.0
12/12/2007,1965.0
13/12/2007,1892.0
14/12/2007,1903.0
17/12/2007,1903.0
18/12/2007,1956.0
19/12/2007,2051.0
20/12/2007,1987.0
21/12/2007,1987.0
24/12/2007,2008.0
25/12/2007,1987.0
26/12/2007,1987.0
27/12/2007,1987.0
28/12/2007,2008.0
02/01/2008,2019.0
03/01/2008,2030.0
04/01/2008,2051.0
07/01/2008,2082.0
08/01/2008,2178.0
09/01/2008,2283.0
10/01/2008,2262.0
11/01/2008,2241.0
14/01/2008,2241.0
15/01/2008,2135.0
16/01/2008,2220.0
17/01/2008,2114.0
18/01/2008,2156.0
21/01/2008,2114.0
22/01/2008,2051.0
23/01/2008,1956.0
24/01/2008,1966.0
25/01/2008,1966.0
28/01/2008,1977.0
29/01/2008,2019.0
30/01/2008,2114.0
31/01/2008,2072.0
01/02/2008,2135.0
12/02/2008,2114.0
13/02/2008,2051.0
14/02/2008,2061.0
15/02/2008,2051.0
18/02/2008,1966.0
19/02/2008,1956.0
20/02/2008,1860.0
21/02/2008,1776.0
22/02/2008,1712.0
25/02/2008,1797.0
26/02/2008,1734.0
27/02/2008,1755.0
28/02/2008,1744.0
29/02/2008,1702.0
03/03/2008,1617.0
04/03/2008,1543.0
05/03/2008,1490.0
06/03/2008,1564.0
07/03/2008,1638.0
10/03/2008,1712.0
11/03/2008,1702.0
12/03/2008,1734.0
13/03/2008,1744.0
14/03/2008,1712.0
17/03/2008,1628.0
18/03/2008,1554.0
19/03/2008,1554.0
20/03/2008,1533.0
21/03/2008,1459.0
24/03/2008,1395.0
25/03/2008,1332.0
26/03/2008,1374.0
27/03/2008,1385.0
28/03/2008,1395.0
31/03/2008,1406.0
01/04/2008,1417.0
02/04/2008,1427.0
03/04/2008,1438.0
04/04/2008,1448.0
07/04/2008,1469.0
08/04/2008,1490.0
09/04/2008,1469.0
10/04/2008,1448.0
11/04/2008,1427.0
16/04/2008,1406.0
17/04/2008,1417.0
18/04/2008,1395.0
21/04/2008,1374.0
22/04/2008,1353.0
23/04/2008,1332.0
24/04/2008,1311.0
25/04/2008,1290.0
28/04/2008,1311.0
29/04/2008,1332.0
05/05/2008,1353.0
06/05/2008,1374.0
07/05/2008,1374.0
08/05/2008,1353.0
09/05/2008,1332.0
12/05/2008,1311.0
13/05/2008,1290.0
14/05/2008,1269.0
15/05/2008,1247.0
16/05/2008,1226.0
19/05/2008,1205.0
20/05/2008,1184.0
21/05/2008,1163.0
22/05/2008,1142.0
23/05/2008,1121.0
26/05/2008,1099.0
30/05/2008,1078.0
02/06/2008,1057.0
03/06/2008,1036.0
04/06/2008,1017.0
05/06/2008,998.0
06/06/2008,979.0
09/06/2008,960.0
10/06/2008,941.0
11/06/2008,924.0
12/06/2008,941.0
13/06/2008,958.0
16/06/2008,977.0
17/06/2008,996.0
18/06/2008,977.0
19/06/2008,949.0
20/06/2008,922.0
23/06/2008,949.0
24/06/2008,977.0
25/06/2008,1004.0
26/06/2008,1034.0
27/06/2008,1057.0
30/06/2008,1089.0
01/07/2008,1121.0
02/07/2008,1152.0
03/07/2008,1184.0
04/07/2008,1216.0
07/07/2008,1247.0
08/07/2008,1279.0
09/07/2008,1311.0
10/07/2008,1343.0
11/07/2008,1382.0
14/07/2008,1424.0
15/07/2008,1465.0
16/07/2008,1495.0
17/07/2008,1539.0
18/07/2008,1584.0
21/07/2008,1539.0
22/07/2008,1495.0
23/07/2008,1450.0
24/07/2008,1421.0
25/07/2008,1462.0
28/07/2008,1495.0
29/07/2008,1539.0
30/07/2008,1584.0
31/07/2008,1628.0
01/08/2008,1672.0
04/08/2008,1643.0
05/08/2008,1613.0
06/08/2008,1658.0
07/08/2008,1687.0
08/08/2008,1732.0
11/08/2008,1776.0
12/08/2008,1820.0
13/08/2008,1865.0
14/08/2008,1909.0
15/08/2008,1953.0
18/08/2008,2042.0
19/08/2008,2131.0
20/08/2008,2205.0
21/08/2008,2294.0
22/08/2008,2190.0
25/08/2008,2279.0
26/08/2008,2205.0
27/08/2008,2101.0
28/08/2008,1998.0
29/08/2008,1909.0
03/09/2008,1998.0
04/09/2008,1953.0
05/09/2008,1865.0
08/09/2008,1835.0
09/09/2008,1865.0
10/09/2008,1805.0
11/09/2008,1790.0
12/09/2008,1715.0
15/09/2008,1790.0
16/09/2008,1715.0
17/09/2008,1655.0
18/09/2008,1580.0
19/09/2008,1655.0
22/09/2008,1730.0
23/09/2008,1760.0
24/09/2008,1700.0
25/09/2008,1775.0
26/09/2008,1836.0
29/09/2008,1760.0
30/09/2008,1685.0
01/10/2008,1625.0
02/10/2008,1625.0
03/10/2008,1580.0
06/10/2008,1502.0
07/10/2008,1429.0
08/10/2008,1360.0
09/10/2008,1294.0
10/10/2008,1231.0
13/10/2008,1171.0
14/10/2008,1228.0
15/10/2008,1288.0
16/10/2008,1249.0
17/10/2008,1255.0
20/10/2008,1213.0
21/10/2008,1249.0
22/10/2008,1201.0
23/10/2008,1144.0
24/10/2008,1086.0
27/10/2008,1032.0
28/10/2008,981.0
29/10/2008,981.0
30/10/2008,933.0
31/10/2008,978.0
03/11/2008,972.0
04/11/2008,1020.0
05/11/2008,1068.0
06/11/2008,1107.0
07/11/2008,1053.0
10/11/2008,1056.0
11/11/2008,1005.0
12/11/2008,963.0
13/11/2008,978.0
14/11/2008,999.0
17/11/2008,984.0
18/11/2008,954.0
19/11/2008,951.0
20/11/2008,906.0
21/11/2008,900.0
24/11/2008,909.0
25/11/2008,933.0
26/11/2008,912.0
27/11/2008,873.0
28/11/2008,915.0
01/12/2008,915.0
02/12/2008,897.0
03/12/2008,900.0
04/12/2008,906.0
05/12/2008,881.0
08/12/2008,837.0
09/12/2008,865.0
10/12/2008,847.0
11/12/2008,862.0
12/12/2008,903.0
15/12/2008,946.0
16/12/2008,900.0
17/12/2008,931.0
18/12/2008,940.0
19/12/2008,940.0
22/12/2008,971.0
23/12/2008,949.0
24/12/2008,949.0
25/12/2008,952.0
26/12/2008,965.0
29/12/2008,965.0
30/12/2008,996.0
31/12/2008,980.0
02/01/2009,965.0
05/01/2009,956.0
06/01/2009,971.0
07/01/2009,1002.0
08/01/2009,987.0
09/01/2009,990.0
12/01/2009,990.0
13/01/2009,974.0
