ngay;dongcua
6/17/2022;77
6/16/2022;77
6/15/2022;77
6/14/2022;77
6/13/2022;76
06/10/2022;78
06/09/2022;78
06/08/2022;78
06/07/2022;78
06/06/2022;79
06/03/2022;79
06/02/2022;79
06/01/2022;79
5/31/2022;79
5/30/2022;79
5/27/2022;78
5/26/2022;78
5/25/2022;78
5/24/2022;78
5/23/2022;77
5/20/2022;78
5/19/2022;78
5/18/2022;78
5/17/2022;78
5/16/2022;77
5/13/2022;78
05/12/2022;79
05/11/2022;81
05/10/2022;80
05/09/2022;79
05/06/2022;80
05/05/2022;80
05/04/2022;80
4/29/2022;80
4/28/2022;78
4/27/2022;78
4/26/2022;78
4/25/2022;76
4/22/2022;78
4/21/2022;78
4/20/2022;79
4/19/2022;79
4/18/2022;80
4/15/2022;81
4/14/2022;82
4/13/2022;82
04/12/2022;81
04/08/2022;82
04/07/2022;80
04/06/2022;81
04/05/2022;82
04/04/2022;83
04/01/2022;82
3/31/2022;81
3/30/2022;81
3/29/2022;81
3/28/2022;81
3/25/2022;81
3/24/2022;81
3/23/2022;81
3/22/2022;82
3/21/2022;81
3/18/2022;79
3/17/2022;78
3/16/2022;78
3/15/2022;78
3/14/2022;78
03/11/2022;79
03/10/2022;79
03/09/2022;78
03/08/2022;78
03/07/2022;79
03/04/2022;79
03/03/2022;79
03/02/2022;79
03/01/2022;79
2/28/2022;77
2/25/2022;79
2/24/2022;80
2/23/2022;83
2/22/2022;82
2/21/2022;84
2/18/2022;82
2/17/2022;83
2/16/2022;83
2/15/2022;84
2/14/2022;82
02/11/2022;82
02/10/2022;84
02/09/2022;86
02/08/2022;87
02/07/2022;91
1/28/2022;97
1/27/2022;97
1/26/2022;96
1/25/2022;96
1/24/2022;95
1/21/2022;96
1/20/2022;95
1/19/2022;96
1/18/2022;96
1/17/2022;97
1/14/2022;99
1/13/2022;99
01/12/2022;101
01/11/2022;101
01/10/2022;102
01/07/2022;102
01/06/2022;105
01/05/2022;100
01/04/2022;101
12/31/2021;95
12/30/2021;95
12/29/2021;96
12/28/2021;98
12/27/2021;99
12/24/2021;97
12/23/2021;96
12/22/2021;100
12/21/2021;98
12/20/2021;99
12/17/2021;102
12/16/2021;100
12/15/2021;100
12/14/2021;103
12/13/2021;103
12/10/2021;103
12/09/2021;107
12/08/2021;106
12/07/2021;107
12/06/2021;106
12/03/2021;106
12/02/2021;107
12/01/2021;106
11/30/2021;105
11/29/2021;105
11/26/2021;99
11/25/2021;94
11/24/2021;94
11/23/2021;95
11/22/2021;95
11/19/2021;95
11/18/2021;95
11/17/2021;96
11/16/2021;95
11/15/2021;95
11/12/2021;95
11/11/2021;95
11/10/2021;95
11/09/2021;95
11/08/2021;95
11/05/2021;95
11/04/2021;95
11/03/2021;95
11/02/2021;96
11/01/2021;96
10/29/2021;96
10/28/2021;95
10/27/2021;95
10/26/2021;92
10/25/2021;92
10/22/2021;92
10/21/2021;91
10/20/2021;92
10/19/2021;92
10/18/2021;93
10/15/2021;93
10/14/2021;93
10/13/2021;93
10/12/2021;93
10/11/2021;92
10/08/2021;89
10/07/2021;89
10/06/2021;89
10/05/2021;89
10/04/2021;88
10/01/2021;88
9/30/2021;88
9/29/2021;87
9/28/2021;87
9/27/2021;86
9/24/2021;87
9/23/2021;87
9/22/2021;86
9/21/2021;86
9/20/2021;87
9/17/2021;87
9/16/2021;88
9/15/2021;91
9/14/2021;92
9/13/2021;92
09/10/2021;91
09/09/2021;91
09/08/2021;92
09/07/2021;94
09/06/2021;95
09/01/2021;94
8/31/2021;94
8/30/2021;94
8/27/2021;95
8/26/2021;93
8/25/2021;95
8/24/2021;95
8/23/2021;96
8/20/2021;98
8/19/2021;104
8/18/2021;98
8/17/2021;99
8/16/2021;98
8/13/2021;99
08/12/2021;99
08/11/2021;99
08/10/2021;100
08/09/2021;101
08/06/2021;101
08/05/2021;101
08/04/2021;101
08/03/2021;102
08/02/2021;96
7/30/2021;95
7/29/2021;93
7/28/2021;94
7/27/2021;93
7/26/2021;93
7/23/2021;92
7/22/2021;94
7/21/2021;92
7/20/2021;92
7/19/2021;91
7/16/2021;94
7/15/2021;91
7/14/2021;92
7/13/2021;92
07/12/2021;92
07/09/2021;97
07/08/2021;99
07/07/2021;101
07/06/2021;100
07/05/2021;102
07/02/2021;104
07/01/2021;105
6/30/2021;106
6/29/2021;105
6/28/2021;104
6/25/2021;104
6/24/2021;104
6/23/2021;104
6/22/2021;104
6/21/2021;104
6/18/2021;104
6/17/2021;104
6/16/2021;106
6/15/2021;108
6/14/2021;107
06/11/2021;105
06/10/2021;104
06/09/2021;106
06/08/2021;106
06/07/2021;109
06/04/2021;108
06/03/2021;105
06/02/2021;104
06/01/2021;107
5/31/2021;104
5/28/2021;106
5/27/2021;107
5/26/2021;108
5/25/2021;109
5/24/2021;109
5/21/2021;109
5/20/2021;109
5/19/2021;107
5/18/2021;108
5/17/2021;110
5/14/2021;111
5/13/2021;112
05/12/2021;115
05/11/2021;116
05/10/2021;118
05/07/2021;117
05/06/2021;118
05/05/2021;119
05/04/2021;119
4/29/2021;116
4/28/2021;117
4/27/2021;117
4/26/2021;117
4/23/2021;123
4/22/2021;123
4/20/2021;127
4/19/2021;128
4/16/2021;127
4/15/2021;125
4/14/2021;124
4/13/2021;125
04/12/2021;117
04/09/2021;111
04/08/2021;111
04/07/2021;114
04/06/2021;113
04/05/2021;110
04/02/2021;109
04/01/2021;109
3/31/2021;105
3/30/2021;104
3/29/2021;100
3/26/2021;100
3/25/2021;98
3/24/2021;96
3/23/2021;95
3/22/2021;95
3/19/2021;96
3/18/2021;95
3/17/2021;93
3/16/2021;94
3/15/2021;94
03/12/2021;94
03/11/2021;94
03/10/2021;94
03/09/2021;93
03/08/2021;94
03/05/2021;94
03/04/2021;95
03/03/2021;95
03/02/2021;96
03/01/2021;96
2/26/2021;97
2/25/2021;97
2/24/2021;96
2/23/2021;98
2/22/2021;98
2/19/2021;97
2/18/2021;98
2/17/2021;96
02/09/2021;94
02/08/2021;90
02/05/2021;96
02/04/2021;93
02/03/2021;96
02/02/2021;94
02/01/2021;88
1/29/2021;88
1/28/2021;83
1/27/2021;89
1/26/2021;90
1/25/2021;93
1/22/2021;93
1/21/2021;93
1/20/2021;92
1/19/2021;91
1/18/2021;98
1/15/2021;99
1/14/2021;98
1/13/2021;99
01/12/2021;102
01/11/2021;101
01/08/2021;99
01/07/2021;98
01/06/2021;98
01/05/2021;98
01/04/2021;96
12/31/2020;96
12/30/2020;96
12/29/2020;95
12/28/2020;94
12/25/2020;94
12/24/2020;94
12/23/2020;94
12/22/2020;94
12/21/2020;95
12/18/2020;93
12/17/2020;93
12/16/2020;95
12/15/2020;95
12/14/2020;97
12/11/2020;95
12/10/2020;93
12/09/2020;94
12/08/2020;93
12/07/2020;94
12/04/2020;94
12/03/2020;94
12/02/2020;93
12/01/2020;93
11/30/2020;92
11/27/2020;94
11/26/2020;94
11/25/2020;94
