ngày;đóng cửa
10/01/2023;1053.35
09/01/2023;1054.21
06/01/2023;1051.44
05/01/2023;1055.82
04/01/2023;1046.35
03/01/2023;1043.9
30/12/2022;1007.09
29/12/2022;1009.29
28/12/2022;1015.66
27/12/2022;1004.57
26/12/2022;985.21
23/12/2022;1020.34
22/12/2022;1022.61
21/12/2022;1018.88
20/12/2022;1023.13
19/12/2022;1038.4
16/12/2022;1052.48
15/12/2022;1055.32
14/12/2022;1050.43
13/12/2022;1047.45
12/12/2022;1032.07
09/12/2022;1051.81
08/12/2022;1050.53
07/12/2022;1041.02
06/12/2022;1048.69
05/12/2022;1093.67
02/12/2022;1080.01
01/12/2022;1036.28
30/11/2022;1048.42
29/11/2022;1032.16
28/11/2022;1005.69
25/11/2022;971.46
24/11/2022;947.71
23/11/2022;946
22/11/2022;952.12
21/11/2022;960.65
18/11/2022;969.33
17/11/2022;969.26
16/11/2022;942.9
15/11/2022;911.9
14/11/2022;941.04
11/11/2022;954.53
10/11/2022;947.24
09/11/2022;985.59
08/11/2022;981.65
07/11/2022;975.19
04/11/2022;997.15
03/11/2022;1019.81
02/11/2022;1023.19
01/11/2022;1033.75
31/10/2022;1027.94
28/10/2022;1027.36
27/10/2022;1028.01
26/10/2022;993.36
25/10/2022;997.7
24/10/2022;986.15
21/10/2022;1019.82
20/10/2022;1058.45
19/10/2022;1060.07
18/10/2022;1063.66
17/10/2022;1051.58
14/10/2022;1061.85
13/10/2022;1050.99
12/10/2022;1034.81
11/10/2022;1006.2
10/10/2022;1042.48
07/10/2022;1035.91
06/10/2022;1074.52
05/10/2022;1104.26
04/10/2022;1078.14
03/10/2022;1086.44
30/09/2022;1132.11
29/09/2022;1126.07
28/09/2022;1143.62
27/09/2022;1166.54
26/09/2022;1174.35
23/09/2022;1203.28
22/09/2022;1214.7
21/09/2022;1210.55
20/09/2022;1218.93
19/09/2022;1205.43
16/09/2022;1234.03
15/09/2022;1245.66
14/09/2022;1240.77
13/09/2022;1248.4
12/09/2022;1249.62
09/09/2022;1248.78
08/09/2022;1234.6
07/09/2022;1243.17
06/09/2022;1277.4
05/09/2022;1277.35
31/08/2022;1280.51
30/08/2022;1279.39
29/08/2022;1270.8
26/08/2022;1282.57
25/08/2022;1288.88
24/08/2022;1277.16
23/08/2022;1270.81
22/08/2022;1260.43
19/08/2022;1269.18
18/08/2022;1273.66
17/08/2022;1275.28
16/08/2022;1274.69
15/08/2022;1274.2
12/08/2022;1262.33
11/08/2022;1252.07
10/08/2022;1256.5
09/08/2022;1258.85
08/08/2022;1256.75
